Europe,Austria,Horizons,David,Backup Vendor,Expat EOR,,,,,,,USD 499,N/A,1 month,N/A,"for expatriates, VAT may apply depending on the local regulations.",,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Europe,Austria,Acvian,David,Backup Vendor,Local EOR ,,,,,,,"• EUR 400
• 6% on bonus and reimbursement",N/A,1 month invoice,N/A,N/A,"• Off-cycle payment out of payroll run - EUR 150.00 per transaction
• Partner can support visa sponsorship",ACV,Direct Entity,Signed MSA,a.zakharov@acvian.com,Anthony Zakharov,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1FnxuLNnvsNjtofU3yPF8sbdGZUKI7vIGO_aid6WGQCM/edit,"June 4, 2026",Tier 2
Europe,Austria,Acvian,David,Backup Vendor,Expat EOR,,,,,,,"• EUR 400
• 6% on bonus and reimbursement",N/A,1 month invoice,N/A,N/A,"• Off-cycle payment out of payroll run - EUR 150.00 per transaction
• Partner can support visa sponsorship",ACV,Direct Entity,Signed MSA,a.zakharov@acvian.com,Anthony Zakharov,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1FnxuLNnvsNjtofU3yPF8sbdGZUKI7vIGO_aid6WGQCM/edit,"June 4, 2026",Tier 2
Asia,Azerbaijan,FChain,David,Preferred Vendor,Local EOR ,(Gross salary * 7%) + (USD 150 - 250),USD 0 - 250,1 month gross salary,N/A,N/A,"• In Azerbaijan, providing EoR services does not require a license.",7%,N/A,N/A,N/A,N/A,"• In Azerbaijan, providing EoR services does not require a license.",FCH,Direct Entity,,tsultanahmadi@f-chain.com,Tural Sultan-Ahmadi,"5 June, 2026",Approved,https://docs.google.com/spreadsheets/d/10iWZAp5RXBiwls81G9UZm52Z6prAZhxEf6TNGcU-xF8/edit?usp=sharing,7/1/2026,
Asia,Azerbaijan,FChain,David,Preferred Vendor,Expat EOR,(Gross salary * 7%) + (USD 150 - 250),USD 0 - 250,1 month gross salary,N/A,N/A,,7%,N/A,N/A,N/A,N/A,,FCH,Direct Entity,Established Contact,tsultanahmadi@f-chain.com,Tural Sultan-Ahmadi,"5 June, 2026",Approved,https://docs.google.com/spreadsheets/d/10iWZAp5RXBiwls81G9UZm52Z6prAZhxEf6TNGcU-xF8/edit?usp=sharing,7/1/2026,
Asia,Azerbaijan,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month ,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Asia,Azerbaijan,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Asia,Azerbaijan,Enterprise Workforce Solutions,David,Backup Vendor,Expat EOR,,,,,,,USD 650,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Asia,Azerbaijan,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Northwestern West Indies,Bahamas ,Horizons ,David,Preferred Vendor,Local EOR ,USD 550 - 650,USD 0 - 500,1 month ,N/A,N/A,,USD 399,N/A,1 month ,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Asia,Bahrain,People 2.0,Jasmine,,Local EOR ,,,,,,,"USD 1,000 (discounted by USD 250)","USD 1,500 (could be discounted to USD 1,200)",,N/A,,,PPL,Unknown,,Matt.Boyle@people20.com,Matt Boyle,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qp7UGJgFrQb-je8kfJvPt38Vql-zZqRe-tcaoDZf18w/edit,7/15/2026,
Asia,Bahrain,Auxilium,Jasmine,Preferred Vendor,Local EOR ,BD 350 - 400,BD 150 - 200,1 month,N/A,10% on service fee,"• 4% Expats & 14% Bahraini Nationals (Employer Contribution) – increasing by 1% each year until 2027
• LMRA (expat only) - BD 10
• Health Levy Fees – SIO (Bahraini Nationals only) - BD 2
• Bahrainisation Fee (expat only) - BD 50 approx
• Workmen Compensation - 1% of Gross Monthly Salary",BD 300,BD 100,N/A,N/A,10% on service fee,"• 4% Expats & 14% Bahraini Nationals (Employer Contribution) – increasing by 1% each year until 2027
• LMRA (expat only) - BD 10
• Health Levy Fees – SIO (Bahraini Nationals only) - BD 2
• Bahrainisation Fee (expat only) - BD 50 approx
• Workmen Compensation - 1% of Gross Monthly Salary",AUX,Direct Entity,Signed MSA,Lawrence.Coward@auxiliumservices.com,Lawrence Coward,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1j3AhdZLbdehMNW1ih9WSwqE1oig1czH7jd-NGDPDd7Y/edit,7/15/2026,
Asia,Bahrain,Auxilium,Jasmine,Preferred Vendor,Expat EOR,BD 350 - 400,BD 150 - 200,1 month,N/A,10% on service fee,"• 4% Expats & 14% Bahraini Nationals (Employer Contribution) – increasing by 1% each year until 2027
• LMRA (expat only) - BD 10
• Health Levy Fees – SIO (Bahraini Nationals only) - BD 2
• Bahrainisation Fee (expat only) - BD 50 approx
• Workmen Compensation - 1% of Gross Monthly Salary",BD 300,BD 100,N/A,N/A,10% on service fee,"• 4% Expats & 14% Bahraini Nationals (Employer Contribution) – increasing by 1% each year until 2027
• LMRA (expat only) - BD 10
• Health Levy Fees – SIO (Bahraini Nationals only) - BD 2
• Bahrainisation Fee (expat only) - BD 50 approx
• Workmen Compensation - 1% of Gross Monthly Salary",AUX,Direct Entity,Signed MSA,Lawrence.Coward@auxiliumservices.com,Lawrence Coward,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1j3AhdZLbdehMNW1ih9WSwqE1oig1czH7jd-NGDPDd7Y/edit,7/15/2026,
Asia,Bangladesh,Skuad,David,Poor Quality Vendor,Local EOR ,,,,,,,USD 299,N/A,1 month,N/A,18% on total invoice,,SKD,Uses Vendor,Active,manish.jajodia@skuad.io,Manish Jajodia,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1N4eAcUURFl8XX4fRxPabVxwK7Y6kD2m-cVR7oQ_Q_sc/edit,"July 15, 2026",
Asia,Bangladesh,Payroll2Bangladesh,David,,Local EOR ,,,,,,,18%,Setup Fee $3500 (For Payroll Processing Only),"3 months deposit (because in Bangladesh, 2-month notice period is mandatory)",N/A,"• invoice more than 2000 usd - 15% VAT on total invoice
• invoice less than 2000 usd - 15% VAT only on service fee","• If charge 5-month deposit, service fee could be lower to 16%, lowest would be 15% with 7-month deposit",,Direct Entity,,info@payrollbangladesh.com,Mr. Tuhin,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/14ElGBAHc7X_EtnYMvFewxnRi8LJn_Qj3xlkGsW_apMA/edit,"July 15, 2026",
Asia,Bangladesh,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Asia,Bangladesh,Talent Centric,Jasmine,Preferred Vendor,Local EOR ,(Gross salary * 14%) + (USD 150 - 250),USD 0 - 250,1 month,N/A,15% on total invoice,,14%,N/A,N/A,N/A,15% on total invoice,,TLC,Direct Entity,Signed MSA,Md Mahajaban Chowdhury Aurko ,mahajaban.aurko@tcentric.com,"31 December, 2026",Active,,,
Asia,Bangladesh,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Asia,Bangladesh,Enterprise Workforce Solutions,David,Backup Vendor,Expat EOR,,,,,,,USD 650,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Asia,Bangladesh,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 199,N/A,1 month ,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Asia,Bangladesh,Remote,David,Backup Vendor,Local EOR ,,,,,,,USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,,RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Asia,Bangladesh,Procloz,David,,Local EOR ,,,,,,,USD 300,N/A,1 month,N/A,N/A,• Uses a third party platform to manage leaves,PRO,Direct Entity,Signed MSA,"sbudhraja@procloz.com, dtaneja@procloz.com, nsharma@procloz.com, awasal@procloz.com","Shreya Budhraja 
Damanpreet Singh Taneja 
Niraj Kumar Sharma 
Amandeep Singh Wasal ","5 June, 2026",Active,https://docs.google.com/spreadsheets/d/1pN7P6qmfF-FIAycPc_mCWE2ivBba3CWGXVLQWMkTEmE/edit,6/4/2026,
Asia,Bangladesh,Procloz,David,,Expat EOR,,,,,,,USD 550,N/A,1 month,N/A,N/A,• Uses a third party platform to manage leaves,PRO,Direct Entity,Signed MSA,"sbudhraja@procloz.com, dtaneja@procloz.com, nsharma@procloz.com, awasal@procloz.com","Shreya Budhraja 
Damanpreet Singh Taneja 
Niraj Kumar Sharma 
Amandeep Singh Wasal ","5 June, 2026",Active,https://docs.google.com/spreadsheets/d/1pN7P6qmfF-FIAycPc_mCWE2ivBba3CWGXVLQWMkTEmE/edit,6/4/2026,
Latin America,Barbados,Tarmack,David,Preferred Vendor,Local EOR ,USD 349 - 449,,TBC,,TBC,,"• USD199 (1 to 5) 
• USD 179 (6 to 10) 
• USD 159 (11+)",TBC,TBC,TBC,TBC,,,,,"manish.j@tarmack.com,
ashish.sidhu@tarmack.com",Manish Jajodia,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1XNZNgANvT6LbL8gQ2Lle69EDiIqrEXD1dDB_M3qf-bQ/edit,6/10/2026,
Latin America,Barbados,Tarmack,David,Preferred Vendor,Expat EOR,USD 549 - 649,,1 month,,,,USD 299,,,,,,,,,"manish.j@tarmack.com,
ashish.sidhu@tarmack.com",Manish Jajodia,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1XNZNgANvT6LbL8gQ2Lle69EDiIqrEXD1dDB_M3qf-bQ/edit,6/10/2026,
Europe,Belarus,FChain,David,Backup Vendor,Local EOR ,,,,,,,"• 10% min USD 400
• 10% on bonus and reimbursement",USD 400,2 months,N/A,N/A,,FCH,Direct Entity,,takhundov@f-chain.com,Teymur Akhundov,"5 June, 2026",Approved,https://docs.google.com/spreadsheets/d/10iWZAp5RXBiwls81G9UZm52Z6prAZhxEf6TNGcU-xF8/edit?usp=sharing,7/1/2026,
Europe,Belarus,Enterprise Workforce Solutions,David,Preferred Vendor,Local EOR ,USD 525 - 625,USD 0 - 250 ,1 month,N/A,N/A,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Belarus,Enterprise Workforce Solutions,David,Preferred Vendor,Expat EOR,USD 800 - 900,USD 0 - 500 ,1 month,N/A,N/A,,USD 650,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Belarus,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Europe,Belgium,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly
• The vendor provides visa sponsorship, but requires to sign with end client directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Europe,Belgium,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Entity not operational,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Europe,Belgium,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Europe,Belgium,EOR Partners,Jasmine,,Local EOR ,,,,,,,EUR 450,EUR 300,1 month employment cost,,,,,,,campbell@eorpartners.com,Campbell Curtis,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1hqk3nh0_KxaC-uowc7XzDbJ3bdrKdZ8qyo-pByfUND8/edit,"July 15, 2026",
Europe,Belgium,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Europe,Belgium,Enterprise Workforce Solutions,David,Preferred Vendor,Expat EOR,USD 600 - 700,USD 0 - 500 ,1 month,N/A,N/A,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Belgium,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Europe,Belgium,Access Financial,David,Backup Vendor,Local EOR ,,,,,,,EUR 500,N/A,N/A,N/A,N/A,"• the vendor can sponsor visa, can sign with Slasify not end client
•.for the protection of all parties our contracts require contractors/employees to hold PII. This is to cover against claims for professional errors or negligence. If you do not hold such insurance, AFS can offer a fully comprehensive PII at only €150.00 for up to 3 months inclusive;  €250.00 for 4-6 months inclusive or €395.00 for 7-12 months inclusive with a worldwide cover (exc. USA & Canada) of €5 million.  ",ACF,Direct Entity,Signed MSA,Nicos@accessfinancial.com,Nicos Nicolaou,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/14pSkfYMAGQH_SF9hB0tBR8DxGdEfxM4Rq_MBchmava4/edit,"July 15, 2026",
Europe,Belgium,Access Financial,David,Backup Vendor,Expat EOR,,,,,,,EUR 500,N/A,N/A,N/A,N/A,"• the vendor can sponsor visa, can sign with Slasify not end client
•.for the protection of all parties our contracts require contractors/employees to hold PII. This is to cover against claims for professional errors or negligence. If you do not hold such insurance, AFS can offer a fully comprehensive PII at only €150.00 for up to 3 months inclusive;  €250.00 for 4-6 months inclusive or €395.00 for 7-12 months inclusive with a worldwide cover (exc. USA & Canada) of €5 million.  ",ACF,Direct Entity,Signed MSA,Nicos@accessfinancial.com,Nicos Nicolaou,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/14pSkfYMAGQH_SF9hB0tBR8DxGdEfxM4Rq_MBchmava4/edit,"July 15, 2026",
Europe,Belgium ,Rivermate,David,Preferred Vendor,Expat EOR,EUR 500 - 700,EUR 0 - 700,1 month,N/A,,,EUR 350 ,N/A,1 month,N/A,,,HTK,Direct Entity,Signed MSA,bassem.benhassine@hightekers.com,Bassem Ben Hassine ,"31 December, 2026",Pricing in Contract,,,
Latin America,Belize,Biz Latin Hub,David,Inactive,Local EOR ,,,,,,,USD 800,,,N/A,"Applicable, need to double confirm",,,Direct Entity,Terminated,craig@bizlatinhub.com,Craig Dempsey,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1fnqBZQEM3l1NN2d2Q4gYZmoROuNuXW8dau4BnptpfRc/edit,"June 10, 2026",Tier 0
Africa,Benin Republic,Workpay ,David,Preferred Vendor,Local EOR ,USD 470 - 570 ,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Benin Republic,Workpay ,David,Preferred Vendor,Expat EOR,USD 470 - 570 ,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Benin Republic,Workforce Africa,David,Backup Vendor,Local EOR ,,,,,,,USD 450,USD 200,N/A,USD 200,18% on service fee,"• Pricing valid until December 31st, 2028",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,"July 15, 2026",
Africa,Benin Republic,Workforce Africa,David,Backup Vendor,Expat EOR,,,,,,,USD 500,USD 200,N/A,USD 200,18% on service fee,"• Pricing valid until December 31st, 2029",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,"July 15, 2026",
Africa,Benin Republic,Remote Solutions Africa ,David,Backup Vendor,Local EOR ,,,,,,,USD 250,N/A,N/A,N/A,7.5 % of the service fee,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,"July 15, 2026",
Africa,Benin Republic,Remote Solutions Africa ,David,Backup Vendor,Expat EOR,,,,,,,USD 300,N/A,N/A,N/A,7.5 % of the service fee,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,"July 15, 2026",
Latin America,Bolivia,Biz Latin Hub,David,Inactive,Local EOR ,,,,,,,USD $750 or 13% of total monthly employee cost (whichever is greater) per Employee,USD 120,3 x monthly total employee cost        ,USD 120,13% on service fee only,,,Direct Entity,Terminated,craig@bizlatinhub.com,Craig Dempsey,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1fnqBZQEM3l1NN2d2Q4gYZmoROuNuXW8dau4BnptpfRc/edit,"June 10, 2026",Tier 0
Latin America,Bolivia,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,USD 80 (wet-signing fee),N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
